PK,BLOCK_ID,A6,A20,대장구분코드,대장구분코드명,대지위치,도로명대지위치,법정동코드,대지구분코드,번,지,외필지수,새주소법정동코드,건축면적.m.2.,건폐율...,연면적.m.2.,용적률산정연면적.m.2.,용적률...,구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용도,지붕코드,지붕코드명,기타지붕,세대수.세대.,높이.m.,지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적.m.2.,총동연면적.m.2.,옥내기계식대수.대.,옥내기계식면적.m.2.,옥외기계식대수.대.,옥외기계식면적.m.2.,옥내자주식대수.대.,옥내자주식면적.m.2.,옥외자주식대수.대.,옥외자주식면적.m.2.,사용승인일,Aging,토지면적,yongdo,CHECK
225396,58,1,N,2,집합,경기도 부천시 고강동 576번지, 경기도 부천시 지양로176번길 25,12100,0,576,0,0,12101,163.97,59.58,659.96,636.56,231.31,21,철근콘크리트구조,철근콘크리트조,2000,공동주택,공동주택,10,(철근)콘크리트,스라브,12,11.6,4,1,0,0,0,0,659.96,0,0,0,0,6,69,0,0,20010518,0,275.06,제1종일반주거지역,0
225382,58,1,N,2,집합,경기도 부천시 고강동 573-3번지, 경기도 부천시 지양로172번길 11-1,12100,0,573,3,0,12101,77.84,37.69,233.52,155.68,75.39,11,벽돌구조,연와조,2000,공동주택,다세대 주택,10,(철근)콘크리트,스라브,6,7.85,2,1,0,0,0,0,233.52,0,0,0,0,0,0,0,0,19910110,1,206.62,제1종일반주거지역,0
225383,58,1,N,2,집합,경기도 부천시 고강동 573-4번지, 경기도 부천시 지양로172번길 15-1,12100,0,573,4,0,12101,80.78,38.1,242.34,161.56,76.21,11,벽돌구조,연와조,2000,공동주택,다세대 주택,10,(철근)콘크리트,스라브위기와,6,0,2,1,0,0,0,0,242.34,0,0,0,0,0,0,0,0,19891206,1,211.91,제1종일반주거지역,0
225384,58,1,N,2,집합,경기도 부천시 고강동 574-1번지, 경기도 부천시 지양로170번길 29-7,12100,0,574,1,0,12101,77.31,38.69,231.93,154.62,77.39,11,벽돌구조,연와조,2000,공동주택,다세대 주택,10,(철근)콘크리트,평스라브,6,7.7,2,1,0,0,0,0,231.93,0,0,0,0,0,0,0,0,19900510,1,199.68,제1종일반주거지역,0
225395,58,1,N,2,집합,경기도 부천시 고강동 575-1번지, 경기도 부천시 지양로176번길 29,12100,0,575,1,0,12101,91.64,53.28,347.39,347.39,201.97,21,철근콘크리트구조,철근콘크리트조,2000,공동주택,공동주택,10,(철근)콘크리트,콘크리트슬라브,8,12.65,5,0,0,0,0,0,347.39,0,0,0,0,4,99.66,0,0,20011205,0,171.91,제1종일반주거지역,0
100260971,58,1,Y,2,집합,경기도 부천시 고강동 561-1번지, 경기도 부천시 지양로158번길 39,12100,0,561,1,0,12101,128.68,59.57,399.65,399.65,185.02,21,철근콘크리트구조,철근콘크리트구조,2000,공동주택,공동주택(단지형다세대) 및 제1종근린생활시설,10,(철근)콘크리트,평스라브,8,15.4,5,0,1,0,0,0,399.65,0,0,0,0,0,0,8,92,20160729,0,215.88,제1종일반주거지역,0
225380,58,1,N,2,집합,경기도 부천시 고강동 573-1번지, 경기도 부천시 지양로172번길 15,12100,0,573,1,0,12101,81.76,38.75,245.28,163.52,77.5,11,벽돌구조,연와조,2000,공동주택,다세대 주택,10,(철근)콘크리트,스라브위기와,6,0,2,1,0,0,0,0,245.28,0,0,0,0,0,0,0,0,19891204,1,210.92,제1종일반주거지역,0
225379,58,1,N,2,집합,경기도 부천시 고강동 573번지, 경기도 부천시 지양로172번길 19,12100,0,573,0,1,12101,159.86,37.79,658.32,527.52,124.71,21,철근콘크리트구조,철근콘크리트,2000,공동주택,다세대주택,10,(철근)콘크리트,스라브,15,12.1,4,1,0,0,0,0,658.32,0,0,0,0,0,0,5,57.5,19951020,0,423.17,제1종일반주거지역,0
225257,58,1,N,2,집합,경기도 부천시 고강동 425-25번지, 경기도 부천시 지양로158번길 63-9,12100,0,425,25,0,12101,1110.8575,36.15,5851.125,4633.52,150.78,21,철근콘크리트구조,철근콘크리트벽식구조,2000,공동주택,공동주택,10,(철근)콘크리트,스라브,58,14.8,6,1,0,0,1,7.2,5851.125,0,0,0,0,18,0,20,230,19961120,0,3073.26,제1종일반주거지역,0
225381,58,1,N,2,집합,경기도 부천시 고강동 573-2번지, 경기도 부천시 지양로172번길 11,12100,0,573,2,0,12101,80.88,38.33,242.64,161.76,76.66,11,벽돌구조,연와조,2000,공동주택,다세대주택,10,(철근)콘크리트,스라브,6,7.6,2,1,0,0,0,0,242.64,0,0,0,0,0,0,0,0,19900116,1,210.92,제1종일반주거지역,0
100201476,58,1,,2,집합,경기도 부천시 고강동 560-2번지, 경기도 부천시 지양로158번길 27,12100,0,560,2,0,12101,123.1,58.48,315.24,315.24,149.76,21,철근콘크리트구조,철근콘크리트구조,2000,공동주택,"공동주택(다세대주택),근린생활시설",10,(철근)콘크리트,평스라브,6,10.5,4,0,0,0,0,0,315.24,0,0,0,0,2,23,4,46,20100510,0,210.59,제1종일반주거지역,0
100247385,58,1,N,2,집합,경기도 부천시 고강동 559-1번지, 경기도 부천시 지양로158번길 17,12100,0,559,1,1,12101,117,59.57,288.78,288.78,147.04,21,철근콘크리트구조,철근콘크리트구조,2000,공동주택,공동주택(다세대주택)및제1종근린생활시설,10,(철근)콘크리트,(철근)콘크리트(스라브),6,12.7,4,0,0,0,0,0,288.78,0,0,0,0,0,0,6,69.5,20150714,0,196.38,제1종일반주거지역,0
225397,58,1,N,2,집합,경기도 부천시 고강동 576-3번지, 경기도 부천시 지양로178번길 12,12100,0,576,3,0,12101,135.36,39.65,650.88,515.52,151,21,철근콘크리트구조,철근콘크리트,2000,공동주택,다세대주택,10,(철근)콘크리트,스라브,12,11.9,4,1,0,0,0,0,650.88,0,0,0,0,0,0,4,64.8,19940430,0,341.51,제1종일반주거지역,0
225393,58,1,N,2,집합,경기도 부천시 고강동 574-11번지, 경기도 부천시 지양로176번길 36,12100,0,574,11,0,12101,171.53,39.58,601.07,601.07,138.69,21,철근콘크리트구조,R.C,2000,공동주택,다세대주택,10,(철근)콘크리트,스라브,12,12.4,4,0,0,0,0,0,601.07,0,0,0,0,0,0,6,69,19980423,0,433.42,제1종일반주거지역,0
225394,58,1,N,2,집합,경기도 부천시 고강동 575번지, 경기도 부천시 지양로176번길 31,12100,0,575,0,0,12101,69.7,59.17,317.35,251.92,213.85,21,철근콘크리트구조,철근콘크리트구조,2000,공동주택,공동주택(다세대주택),10,(철근)콘크리트,평스라브,4,13.4,5,1,0,0,0,0,317.35,0,0,0,0,3,55.35,0,0,20061226,0,117.69,제1종일반주거지역,0
100261970,58,1,Y,2,집합,경기도 부천시 고강동 561번지, 경기도 부천시 지양로158번길 41,12100,0,561,0,0,12101,185.47,59.26,592.73,592.73,189.37,21,철근콘크리트구조,철근콘크리트구조,2000,공동주택,공동주택(단지형다세대),10,(철근)콘크리트,철근콘크리트(평스라브),10,15.2,5,0,1,0,0,0,592.73,0,0,0,0,0,0,10,164.95,20160830,0,313.08,제1종일반주거지역,0
225392,58,1,N,2,집합,경기도 부천시 고강동 574-10번지, 경기도 부천시 지양로176번길 32,12100,0,574,10,0,12101,71.21,33.18,211.86,141.24,65.82,11,벽돌구조,연와조,2000,공동주택,다세대 주택,10,(철근)콘크리트,평스라브,6,7.7,2,1,0,0,0,0,211.86,0,0,0,0,0,0,0,0,19900426,1,214.56,제1종일반주거지역,0
225340,58,1,N,2,집합,경기도 부천시 고강동 563-3번지, 경기도 부천시 지양로166번길 18,12100,0,563,3,0,12101,165.26,38.52,658.2,538.78,125.59,21,철근콘크리트구조,철근콘크리트조,2000,공동주택,다세대주택,10,(철근)콘크리트,스라브,10,12.8,4,1,0,0,0,0,658.2,0,0,0,0,0,0,10,115,19970603,0,429.12,제1종일반주거지역,0
225385,58,1,N,2,집합,경기도 부천시 고강동 574-2번지, 경기도 부천시 지양로170번길 29-5,12100,0,574,2,0,12101,96.72,38.52,290.16,193.44,77.04,11,벽돌구조,연와조,2000,공동주택,다세대 주택,10,(철근)콘크리트,스라브,6,7.7,2,1,0,0,0,0,290.16,0,0,0,0,0,0,0,0,19900425,1,251.26,제1종일반주거지역,0
225338,58,1,N,2,집합,경기도 부천시 고강동 562-8번지, 경기도 부천시 지양로162번길 35-4,12100,0,562,8,0,12101,82.08,37.92,246.24,164.16,75.85,11,벽돌구조,연와조,2000,공동주택,다세대주택,10,(철근)콘크리트,스라브,6,7.6,2,1,0,0,0,0,246.24,0,0,0,0,0,0,0,0,19900517,1,216.54,제1종일반주거지역,0
225339,58,1,N,2,집합,경기도 부천시 고강동 563-1번지, 경기도 부천시 지양로162번길 21,12100,0,563,1,0,12101,82.4,37.97,247.2,164.8,75.94,11,벽돌구조,연와조,2000,공동주택,다세대주택,10,(철근)콘크리트,스라브,6,7.8,2,1,0,0,0,0,247.2,0,0,0,0,0,0,0,0,19900928,1,216.87,제1종일반주거지역,0
225378,58,1,N,2,집합,경기도 부천시 고강동 572-3번지, 경기도 부천시 지양로176번길 6,12100,0,572,3,0,12101,78.72,37.56,236.16,157.44,75.11,11,벽돌구조,연와조,2000,공동주택,다세대 주택,10,(철근)콘크리트,스라브,6,7.8,2,1,0,0,0,0,236.16,0,0,0,0,0,0,0,0,19900908,1,209.6,제1종일반주거지역,0
225255,58,1,N,2,집합,경기도 부천시 고강동 425-23번지, 경기도 부천시 지양로158번길 63-5,12100,0,425,23,0,12101,87.9,38.02,263.7,175.8,76.04,11,벽돌구조,연와조,2000,공동주택,다세대 주택,10,(철근)콘크리트,스라브,6,7.8,2,1,0,0,0,0,263.7,0,0,0,0,0,0,0,0,19910212,1,231.09,제1종일반주거지역,0
225256,58,1,N,2,집합,경기도 부천시 고강동 425-24번지, 경기도 부천시 지양로158번길 63-3,12100,0,425,24,0,12101,87.6,38.04,262.8,175.2,76.07,11,벽돌구조,연와조,2000,공동주택,다세대주택,10,(철근)콘크리트,스라브,6,7.9,2,1,0,0,0,0,262.8,0,0,0,0,0,0,0,0,19910419,1,230.43,제1종일반주거지역,0
225226,58,1,N,2,집합,경기도 부천시 고강동 423-3번지, 경기도 부천시 지양로158번길 86-5,12100,0,423,3,0,12101,76.32,37.95,228.96,152.64,75.9,11,벽돌구조,연와조,2000,공동주택,다세대주택,10,(철근)콘크리트,스라브,6,7.7,2,1,0,0,0,0,228.96,0,0,0,0,0,0,0,0,19910130,1,201,제1종일반주거지역,0
225230,58,1,N,2,집합,경기도 부천시 고강동 424-2번지, 경기도 부천시 지양로158번길 71-1,12100,0,424,2,0,12101,138,45.67,603.3,482.64,159.71,21,철근콘크리트구조,철근콘크리트조,2000,공동주택,공동주택,10,(철근)콘크리트,평스라브,10,11.7,4,1,0,0,0,0,603.3,0,0,0,0,0,0,5,57.5,20000608,0,302.17,제1종일반주거지역,0
